url,title
,
http://gwendall.github.io/way/,"Show HN: Way.js – simple, persistent, framework-agnostic two-way databinding"
,
http://nedbatchelder.com/blog/200811/print_this_file_your_printer_will_jam.html,"Print this file, your printer will jam (2008)"
,
http://www.bbc.co.uk/news/technology-28416855,Formula 1: The super-fast net driving teams to the podium
,
http://nautil.us/issue/16/nothingness/why-we-procrastinate,Why We Procrastinate
,
http://www.bbc.com/news/business-28788142,Berlin bans Uber app citing passenger safety
,
http://nautil.us/blog/what-do-blind-people-actually-see,What Do Blind People Actually See?
,
item?id=8176956,Ask HN: Review my startup – itripd.com
,
http://limpet.net/mbrubeck/2014/08/13/toy-layout-engine-3-css.html,Let's build a browser engine Part 3: CSS
,
http://blog.cryptographyengineering.com/2014/08/whats-matter-with-pgp.html,What's the matter with PGP?
,
http://organofcorti.blogspot.com/2014/08/167-satoshis-hashrate.html,Satoshi's Hashrate
,
https://developers.google.com/web/fundamentals/monetization/,Google Web Fundamentals: Monetization
,
http://codemonkey.org.uk/2014/08/13/year-coverity-linux-kernel-scans/,The first year of Coverity Linux kernel scans
,
http://www.pigsdontfly.com/2014/08/why-is-facebook-lying-to-page-owners.html,Why Is Facebook Lying To Page Owners?
,
http://startuplister.com/,Show HN: Startuplister – A startup directory listing service
,
http://www.simonsfoundation.org/quanta/20140812-a-brazilian-wunderkind-who-calms-chaos/,A Brazilian Wunderkind Who Calms Chaos
,
https://flynn.io/blog/flynn-beta,Flynn Beta (YC S14)
,
http://www.wired.com/2014/08/edward-snowden/,Edward Snowden: The Untold Story
,
http://www.fortressofdoors.com/was-localizing-defenders-quest-worth-it/,Was Localizing Defender's Quest Worth It?
,
https://www.virool.com/jobs,Full Stack Engineer – Virool (Fastest Growing Video Distribution Company)
,
http://martinfowler.com/articles/distributed-objects-microservices.html,Microservices and the First Law of Distributed Objects
,
http://92fiveapp.com,Show HN: Self-hosted project management application
,
http://techcrunch.com/2014/08/13/coreos-acquires-quay-io-to-launch-its-private-docker-repository/?ncid=rss,CoreOS Acquires Quay.io to Launch Its Private Docker Repository
,
http://www.opp.io/,Show HN: Opp.io – Meeting Minutes Made Useful
,
http://www.cnet.com/uk/news/salmon-cannon-fires-40-fish-a-minute-up-to-22mph/,Salmon Cannon Fires 40 Fish a Minute
,
https://mig5.net/content/awesome-screenshot-and-niki-bot,Screenshot URL tracking and niki-bot
,
https://www.petekeen.net/know-how-to-roll-your-ssl-certificates,Know How To Roll Your SSL Certificates
,
https://medium.com/patents-technology-law/law-students-fend-off-a-patent-troll-2b8a708277fc,Law Students Fend Off a Patent Troll
,
http://blog.ycombinator.com/startup-school-2014-applications-are-open,Startup School 2014 applications are open
,
http://nautil.us/issue/16/nothingness/whats-250-million-light_years-big-almost-empty-and-full-of-answers,"What’s 250M Light-Years Big, Almost Empty, and Full of Answers?"
,
https://medium.com/solve-for-x/x-to-close-417936dfc0dc,X to close
news?p=2,More
